Incident_ID,Age,Gender,Race,School_Affiliation,Shooter_Outcome,Shooter_Died,Injury
19700323CADAL,16,Male,Hispanic,Student,Surrendered,false,None
19700323CADAL,44,Male,Hispanic,Police Officer/SRO,Surrendered,false,None
19700206OHJOC,18,Male,Hispanic,Student,,false,None
19700105DCUNW,,Male,,Student,Fled/Escaped,false,None
19700105DCSOW,,Male,,Student,Surrendered,false,None
19700105DCHIW,15,Male,,Student,,false,None
19691119WITOT,14,Male,,Student,Surrendered,false,None
19690513NCHAW,13,Male,,Student,,false,None
19690425ILTIC,Teen,Male,,Student,Apprehended/Killed by LE,false,None
19690123DCCAW,18,Male,,Student,Fled/Apprehended,false,None
19690121KYSHL,16,Male,,Student,Fled/Apprehended,false,None
19681010TNRIC,19,Male,Black,Student,Fled/Apprehended,false,None
19680905ILPAC,18,Male,,Student,Fled/Apprehended,false,None
19680905ILPAC,20,Male,,Student,Fled/Apprehended,false,None
19680928ILTIC,Teen,Male,,Student,,false,None
19680610CASAR,15,Male,,Student,Fled/Apprehended,false,None
19680522FLCHM,15,Male,,Student,,false,None
19680325NCHIH,16,Male,Native American/Alaska Native,Student,Fled/Apprehended,false,None
19680212OKHOH,16,Male,White,Student,,false,None
19680205ILBOC,17,Male,,Student,Fled/Apprehended,false,None
19680202TXUNC,25,Male,,No Relation,Surrendered,false,None
19680130FLMIM,16,Female,Black,Student,Surrendered,false,None
19671023HIFAH,32,Male,,Former Student,Surrendered,false,None
19671018PAGEP,18,Male,,Student,Fled/Apprehended,false,None
